"gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","regulation","is_noncoding"
"9622",4.91343185998889,1.86587175812785,0.373875878191397,4.99061818899336,6.01863607947982e-07,1.870271073124e-06,"KLK4","Up",FALSE
"3229",4.82002644825866,2.27171758581778,0.455620742502573,4.98598367874999,6.16473487835149e-07,1.91440860915106e-06,"HOXC13","Up",FALSE
"3223",11.2739951986544,1.32074390553141,0.265345490193501,4.97744998254266,6.44274231477309e-07,1.99777994836212e-06,"HOXC6","Up",FALSE
"84631",24.1924887426742,-1.38708692157628,0.278860367883441,-4.97412713073685,6.55422872924664e-07,2.03067993808524e-06,"SLITRK2","Down",FALSE
"838",10.1339580894038,-1.00029749663211,0.201153757420691,-4.97280045602181,6.59925790294704e-07,2.04362367352596e-06,"CASP5","Down",FALSE
"2786",19.8456301860799,1.62211748600296,0.32619777006127,4.97280372486384,6.5991465884184e-07,2.04362367352596e-06,"GNG4","Up",FALSE
"127254",138.021902344884,-1.44346956787783,0.290321782376544,-4.97196440467451,6.62778761935046e-07,2.05212153042559e-06,"ERICH3","Down",FALSE
"100288181",19.1558602422631,1.12805710482702,0.226923350425061,4.97109311454287,6.65764630245602e-07,2.06001322403091e-06,"LNCOC1","Up",FALSE
"93978",7.60114320431269,-1.31966151507932,0.26553886168029,-4.96974908579745,6.70395986083821e-07,2.07366292463302e-06,"CLEC6A","Down",FALSE
"390874",9.94464426986606,2.46676344840496,0.496964561485081,4.9636606703575,6.91767628994257e-07,2.13556494341391e-06,"ONECUT3","Up",FALSE
"729966",6.2008009711526,1.65098567314546,0.332812551134977,4.96070736369517,7.02369368861723e-07,2.16758384533476e-06,"CIST1","Up",FALSE
"114771",9.71998178152381,2.31961743835516,0.467748060190115,4.959117173917,7.08142474654073e-07,2.18468500648883e-06,"PGLYRP3","Up",FALSE
"7103",66.3882379198965,1.19600624589256,0.24132156904888,4.95606857939128,7.19338350064534e-07,2.2166861578566e-06,"TSPAN8","Up",FALSE
"3231",25.3173521349545,1.1044016196471,0.222881719363715,4.95510184863954,7.22924117275549e-07,2.22628036311596e-06,"HOXD1","Up",FALSE
"9153",16.3365663090003,1.44783074059398,0.292286878516898,4.95345787652344,7.29061465194356e-07,2.24371462672367e-06,"SLC28A2","Up",FALSE
"283547",46.6468316199492,-1.11425833474034,0.224975133826201,-4.95280663151479,7.31506576652636e-07,2.25050481227678e-06,"LINC00639","Down",TRUE
"5457",10.8638841138422,1.99742731594269,0.403480279778376,4.95049551626125,7.40247627900236e-07,2.27631529850098e-06,"POU4F1","Up",FALSE
"390075",3.53019538301724,-1.97155970861796,0.398308907761544,-4.94982580153159,7.42799356307242e-07,2.2833843574858e-06,"OR52N5","Down",FALSE
"4101",4.66742468758098,3.48807682325841,0.70578616134545,4.94211563543417,7.7279355171397e-07,2.3728789626162e-06,"MAGEA2","Up",FALSE
"100506305",17.8417195446711,1.62468945834474,0.3288559141211,4.94042949687215,7.79506751682674e-07,2.39271260004452e-06,"LINC00958","Up",TRUE
"6258",18.4626728501833,-1.16971166356264,0.236847541234938,-4.93866922773901,7.86575016274146e-07,2.41323007027119e-06,"RXRG","Down",FALSE
